Week Of Expenditure,Item,Category,Price
06 July 2025,Soldium valproate,Dads Drugs & Hosp. Exp,"3,000.00"
06 July 2025,Nurovite fort,Dads Drugs & Hosp. Exp,"2,000.00"
06 July 2025,Eye antioxidant,Dads Drugs & Hosp. Exp,"1,500.00"
06 July 2025,Gabapentin,Dads Drugs & Hosp. Exp,"1,400.00"
06 July 2025,Meat,Food,"10,000.00"
06 July 2025,Egg,Food,"6,000.00"
06 July 2025,Plantain,Food,"4,000.00"
06 July 2025,Water,Food,"4,000.00"
06 July 2025,Yam,Food,"4,000.00"
06 July 2025,Rice,Food,"3,600.00"
06 July 2025,Beans,Food,"3,500.00"
06 July 2025,Garri,Food,"3,500.00"
06 July 2025,Ejakika,Food,"2,500.00"
06 July 2025,Seasoning pkt,Food,"2,500.00"
06 July 2025,Fresh pepper,Food,"2,000.00"
06 July 2025,Fresh tomatoes,Food,"2,000.00"
06 July 2025,Fruits,Food,"2,000.00"
06 July 2025,G oil,Food,"2,000.00"
06 July 2025,Red oil,Food,"2,000.00"
06 July 2025,Bread,Food,"1,500.00"
06 July 2025,Ugu,Food,"1,500.00"
06 July 2025,Onions,Food,"1,000.00"
06 July 2025,Pap,Food,"1,000.00"
06 July 2025,Potatoes,Food,"1,000.00"
06 July 2025,Shoko,Food,"1,000.00"
06 July 2025,Shombo,Food,"1,000.00"
06 July 2025,Tatashi,Food,"1,000.00"
06 July 2025,Waterleaf,Food,"1,000.00"
06 July 2025,Nurovite fort,Mom's Drugs & Hosp. Exp,"2,000.00"
06 July 2025,Amoldipine,Mom's Drugs & Hosp. Exp,"1,600.00"
06 July 2025,Gabapentin,Mom's Drugs & Hosp. Exp,"1,400.00"
06 July 2025,Bustan N,Mom's Drugs & Hosp. Exp,500
06 July 2025,Gas,Others,"17,000.00"
06 July 2025,Nepa,Others,"5,000.00"
06 July 2025,Omo,Others,"1,500.00"
06 July 2025,Air freshener,Others,"1,000.00"
06 July 2025,Iru,Others,"1,000.00"
06 July 2025,Toothpaste,Others,"1,000.00"
